2025-06-26 12:39:47,813 mlscoringinference [INFO | assistant_tool.py : TradingAgent : 62] --> Trading Agent Call.
2025-06-26 12:39:47,814 mlscoringinference [INFO | assistant_tool.py : ReportAgent : 90] --> Report Agent Call.
2025-06-26 12:39:47,818 mlscoringinference [INFO | assistant_tool.py : AccountAgent : 131] --> Account Agent Call.
2025-06-26 12:39:47,819 mlscoringinference [INFO | assistant_tool.py : InformationCentreAgent : 173] --> Information Centre Agent Call.
2025-06-26 12:39:47,820 mlscoringinference [INFO | assistant_tool.py : FundAgent : 204] --> Fund Agent Call.
2025-06-26 12:39:47,821 mlscoringinference [INFO | assistant_tool.py : DPAgent : 231] --> DP Agent Call.
2025-06-26 12:39:47,843 mlscoringinference [INFO | react_tool.py : <module> : 155] --> Initializing basic tools...
2025-06-26 12:39:48,330 mlscoringinference [INFO | langgraph_builder.py : <module> : 75] --> Rannnable Importing.
2025-06-26 12:39:48,338 mlscoringinference [INFO | react_agent.py : get_runnable_react : 36] --> React agent for report_agent_schema Creating...
2025-06-26 12:39:48,339 mlscoringinference [INFO | json_utils.py : load_json_file : 53] --> Loading JSON file from path: D:\mofsl-wmchatbot-repo\chatbot_backend\agentic_flow\openapi_schema\report_agent_schema.json
2025-06-26 12:39:48,344 mlscoringinference [INFO | react_agent.py : get_runnable_react : 40] --> API Specification loaded.
2025-06-26 12:39:48,352 mlscoringinference [INFO | react_agent.py : get_runnable_react : 46] --> React agent runnable for report_agent_schema created successfully.
2025-06-26 12:39:48,353 mlscoringinference [INFO | react_agent.py : get_runnable_react : 36] --> React agent for account_agent_schema Creating...
2025-06-26 12:39:48,353 mlscoringinference [INFO | json_utils.py : load_json_file : 53] --> Loading JSON file from path: D:\mofsl-wmchatbot-repo\chatbot_backend\agentic_flow\openapi_schema\account_agent_schema.json
2025-06-26 12:39:48,357 mlscoringinference [INFO | react_agent.py : get_runnable_react : 40] --> API Specification loaded.
2025-06-26 12:39:48,361 mlscoringinference [INFO | react_agent.py : get_runnable_react : 46] --> React agent runnable for account_agent_schema created successfully.
2025-06-26 12:39:48,362 mlscoringinference [INFO | react_agent.py : get_runnable_react : 36] --> React agent for fund_agent_schema Creating...
2025-06-26 12:39:48,362 mlscoringinference [INFO | json_utils.py : load_json_file : 53] --> Loading JSON file from path: D:\mofsl-wmchatbot-repo\chatbot_backend\agentic_flow\openapi_schema\fund_agent_schema.json
2025-06-26 12:39:48,364 mlscoringinference [INFO | react_agent.py : get_runnable_react : 40] --> API Specification loaded.
